V number,R core,R cladding,n core,n cladding,NA,LP02effb,LP02effa,LP21effd,LP21effc,LP21effb,LP21effa,LP11effd,LP11effc,LP11effb,LP11effa,LP01effb,LP01effa,Eff area02b,Eff area02a,Eff area21d,Eff area21c,Eff area21b,Eff area21a,Eff area11d,Eff area11c,Eff area11b,Eff area11a,Eff area01b,Eff area01a,dneffaa1,dneffab1,dneffac1,dneffad1,dneffba1,dneffbb1,dneffbc1,dneffbd1,dneffaa2,dneffbb2,dneffcc2,dneffdd2,dneffaa3,dneffba3,dneffca3,dneffda3,dneffab3,dneffbb3,dneffcb3,dneffdb3
5.01,8.07E-06,6.25E-05,1.4521,1.444,0.153161,1.4457,1.4457,1.4464,1.4464,1.4464,1.4464,1.4489,1.4489,1.4489,1.4489,1.4508,1.4508,7.14E-11,6.84E-11,1.31E-10,1.12E-10,1.14E-10,1.10E-10,1.22E-10,1.22E-10,1.08E-10,7.41E-11,1.19E-10,1.19E-10,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0025,0.0025,0.0025,0.0025,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
5.01,8.02E-06,6.25E-05,1.4522,1.444,0.154107,1.4458,1.4458,1.4465,1.4465,1.4465,1.4465,1.4489,1.4489,1.4489,1.449,1.4509,1.4509,6.88E-11,6.75E-11,1.22E-10,9.34E-11,7.13E-11,7.97E-11,1.09E-10,1.10E-10,1.11E-10,7.06E-11,1.17E-10,1.18E-10,0.0019,0.002,0.002,0.002,0.0019,0.002,0.002,0.002,0.0025,0.0024,0.0024,0.0024,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
5.01,7.97E-06,6.25E-05,1.4523,1.444,0.155046,1.4458,1.4458,1.4465,1.4465,1.4465,1.4465,1.449,1.449,1.449,1.449,1.451,1.451,6.67E-11,6.76E-11,1.00E-10,1.08E-10,7.55E-11,1.00E-10,1.00E-10,1.10E-10,1.12E-10,7.03E-11,1.16E-10,1.16E-10,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0025,0.0025,0.0025,0.0025,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
5.01,7.92E-06,6.25E-05,1.4524,1.444,0.15598,1.4458,1.4458,1.4465,1.4465,1.4465,1.4465,1.4491,1.4491,1.4491,1.4491,1.4511,1.4511,6.89E-11,6.58E-11,1.27E-10,9.21E-11,1.15E-10,8.94E-11,1.11E-10,1.19E-10,1.13E-10,7.55E-11,1.14E-10,1.15E-10,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0026,0.0026,0.0026,0.0026,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
5.01,7.88E-06,6.25E-05,1.4525,1.444,0.156908,1.4458,1.4458,1.4465,1.4466,1.4466,1.4466,1.4491,1.4491,1.4491,1.4491,1.4512,1.4512,6.81E-11,6.50E-11,1.23E-10,8.22E-11,9.75E-11,1.01E-10,9.76E-11,1.18E-10,1.06E-10,7.41E-11,1.13E-10,1.13E-10,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0025,0.0025,0.0025,0.0026,0.0008,0.0008,0.0008,0.0007,0.0008,0.0008,0.0008,0.0007
5.01,7.83E-06,6.25E-05,1.4526,1.444,0.157831,1.4458,1.4458,1.4466,1.4466,1.4466,1.4466,1.4492,1.4492,1.4492,1.4492,1.4512,1.4512,6.57E-11,6.42E-11,1.04E-10,8.71E-11,7.16E-11,7.77E-11,9.74E-11,1.04E-10,1.15E-10,6.92E-11,1.12E-10,1.12E-10,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0026,0.0026,0.0026,0.0026,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.79E-06,6.25E-05,1.4527,1.444,0.158749,1.4458,1.4459,1.4466,1.4466,1.4466,1.4466,1.4492,1.4492,1.4492,1.4493,1.4513,1.4513,6.66E-11,6.35E-11,1.06E-10,1.04E-10,9.81E-11,1.13E-10,9.43E-11,1.16E-10,9.43E-11,7.00E-11,1.11E-10,1.11E-10,0.002,0.0021,0.0021,0.0021,0.002,0.0021,0.0021,0.0021,0.0027,0.0026,0.0026,0.0026,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0008,0.0008
5.01,7.74E-06,6.25E-05,1.4528,1.444,0.159662,1.4459,1.4459,1.4466,1.4466,1.4466,1.4467,1.4493,1.4493,1.4493,1.4493,1.4514,1.4514,6.38E-11,6.32E-11,1.07E-10,9.01E-11,7.20E-11,7.61E-11,1.09E-10,1.08E-10,1.00E-10,6.74E-11,1.09E-10,1.10E-10,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0026,0.0027,0.0027,0.0027,0.0008,0.0007,0.0007,0.0007,0.0008,0.0007,0.0007,0.0007
5.01,7.70E-06,6.25E-05,1.4529,1.444,0.160569,1.4459,1.4459,1.4467,1.4467,1.4467,1.4467,1.4494,1.4494,1.4494,1.4494,1.4515,1.4515,6.51E-11,6.21E-11,1.18E-10,9.88E-11,9.89E-11,9.75E-11,1.12E-10,1.12E-10,1.09E-10,7.17E-11,1.08E-10,1.08E-10,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0027,0.0027,0.0027,0.0027,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
5.01,7.65E-06,6.25E-05,1.453,1.444,0.161471,1.4459,1.4459,1.4467,1.4467,1.4467,1.4467,1.4494,1.4494,1.4494,1.4494,1.4516,1.4516,6.44E-11,6.14E-11,1.06E-10,8.27E-11,8.50E-11,8.81E-11,1.12E-10,9.31E-11,9.61E-11,6.73E-11,1.07E-10,1.07E-10,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0027,0.0027,0.0027,0.0027,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
