V number,R core,R cladding, n core,n cladding,NA,LP01 eff,LP11 eff,LP21 eff,LP02 eff,dneff1,dneff2,dneff3,,,,,,,,,,,,,
4.1,4.88E-06,6.25E-05,1.4588,1.444,0.207271,1.4556,1.4508,1.4451,1.4442,0.0048,0.0057,0.0009,,,,,,,,,,,,,
4.1,4.86E-06,6.25E-05,1.4589,1.444,0.207974,1.4556,1.4508,1.4451,1.4442,0.0048,0.0057,0.0009,,,,,,,,,,,,,
4.1,4.85E-06,6.25E-05,1.459,1.444,0.208674,1.4557,1.4509,1.4451,1.4442,0.0048,0.0058,0.0009,,,,,,,,,,,,,
4.1,4.83E-06,6.25E-05,1.4591,1.444,0.209372,1.4558,1.4509,1.4451,1.4442,0.0049,0.0058,0.0009,,,,,,,,,,,,,
4.1,4.81E-06,6.25E-05,1.4592,1.444,0.210068,1.4559,1.451,1.4451,1.4442,0.0049,0.0059,0.0009,,,,,,,,,,,,,
4.1,4.80E-06,6.25E-05,1.4593,1.444,0.210762,1.456,1.451,1.4451,1.4442,0.005,0.0059,0.0009,,,,,,,,,,,,,
4.1,4.78E-06,6.25E-05,1.4594,1.444,0.211453,1.456,1.4511,1.4451,1.4442,0.0049,0.006,0.0009,,,,,,,,,,,,,
4.11,7.69E-06,6.25E-05,1.45,1.444,0.131773,1.4487,1.4468,1.4444,1.4441,0.0019,0.0024,0.0003,,,,,,,,,,,,,
4.11,7.63E-06,6.25E-05,1.4501,1.444,0.132868,1.4488,1.4468,1.4445,1.4441,0.002,0.0023,0.0004,,,,,,,,,,,,,
4.11,7.57E-06,6.25E-05,1.4502,1.444,0.133955,1.4488,1.4469,1.4445,1.4441,0.0019,0.0024,0.0004,,,,,,,,,,,,,
4.11,7.51E-06,6.25E-05,1.4503,1.444,0.135034,1.4489,1.4469,1.4445,1.4441,0.002,0.0024,0.0004,,,,,,,,,,,,,
4.11,7.45E-06,6.25E-05,1.4504,1.444,0.136103,1.449,1.44695,1.4445,1.4441,0.00205,0.00245,0.0004,,,,,,,,,,,,,
4.11,7.39E-06,6.25E-05,1.4505,1.444,0.137165,1.4491,1.447,1.4445,1.4441,0.0021,0.0025,0.0004,,,,,,,,,,,,,
4.11,7.34E-06,6.25E-05,1.4506,1.444,0.138219,1.4492,1.447,1.4445,1.4441,0.0022,0.0025,0.0004,,,,,,,,,,,,,
4.11,7.28E-06,6.25E-05,1.4507,1.444,0.139264,1.4492,1.4471,1.4445,1.4441,0.0021,0.0026,0.0004,,,,,,,,,,,,,
4.11,7.23E-06,6.25E-05,1.4508,1.444,0.140302,1.4493,1.4471,1.4445,1.4441,0.0022,0.0026,0.0004,,,,,,,,,,,,,
4.11,7.17E-06,6.25E-05,1.4509,1.444,0.141332,1.4494,1.4472,1.4445,1.4441,0.0022,0.0027,0.0004,,,,,,,,,,,,,
4.11,7.12E-06,6.25E-05,1.451,1.444,0.142355,1.4495,1.4472,1.4445,1.4441,0.0023,0.0027,0.0004,,,,,,,,,,,,,
4.11,7.07E-06,6.25E-05,1.4511,1.444,0.143371,1.4496,1.4473,1.4446,1.4441,0.0023,0.0027,0.0005,,,,,,,,,,,,,
4.11,7.02E-06,6.25E-05,1.4512,1.444,0.144379,1.4496,1.44735,1.4446,1.4441,0.00225,0.00275,0.0005,,,,,,,,,,,,,
4.11,6.97E-06,6.25E-05,1.4513,1.444,0.145381,1.4497,1.4474,1.4446,1.4441,0.0023,0.0028,0.0005,,,,,,,,,,,,,
4.11,6.93E-06,6.25E-05,1.4514,1.444,0.146376,1.4498,1.4474,1.4446,1.4441,0.0024,0.0028,0.0005,,,,,,,,,,,,,
4.11,6.88E-06,6.25E-05,1.4515,1.444,0.147364,1.4499,1.4475,1.4446,1.4441,0.0024,0.0029,0.0005,,,,,,,,,,,,,
4.11,6.83E-06,6.25E-05,1.4516,1.444,0.148346,1.45,1.4475,1.4446,1.4442,0.0025,0.0029,0.0004,,,,,,,,,,,,,
